@relation footfall

@attribute DATE string
@attribute RAINFALL real
@attribute PSI real
@attribute EVENT real
@attribute WEEKEND real
@attribute OVERSEA_HOLIDAY real
@attribute LOCAL_HOLIDAY real
@attribute FOOTFALL real

@data
1-Jul,0,65.5,37,0,0,0,12624
2-Jul,0,62,38,1,0,0,21393
3-Jul,0,57.5,31,1,0,0,21860
4-Jul,0,54,24,0,1,0,15819
5-Jul,0,54.5,25,0,1,0,15771
6-Jul,0.2,51.5,23,0,1,1,29368
7-Jul,8,54.5,32,0,1,0,20524
8-Jul,9.4,55,38,0,1,0,19059
9-Jul,0,59,37,1,1,0,28399
10-Jul,0,58,31,1,1,0,24249
11-Jul,3,64,23,0,0,0,13368
12-Jul,0,56,26,0,0,0,14111
13-Jul,16.6,52,30,0,0,0,13754
14-Jul,5.6,59,31,0,0,0,14754
15-Jul,37.6,59.5,44,0,0,0,13354
16-Jul,0,55.5,44,1,0,0,25849
17-Jul,2,55.5,32,1,0,0,25061
18-Jul,0.6,59,23,0,1,0,15680
19-Jul,47,51,27,0,1,0,15915
20-Jul,12.4,45.5,26,0,1,0,13867
21-Jul,6.4,56,33,0,0,0,15733
22-Jul,3.2,60,35,0,1,0,15212
23-Jul,1,56,47,1,0,0,23928
24-Jul,16.6,47,35,1,0,0,22220
25-Jul,0.2,51,23,0,0,0,16037
26-Jul,25.4,57.5,26,0,0,0,14840
27-Jul,0,60.5,26,0,0,0,16731
28-Jul,57.2,61.5,30,0,0,0,15034
29-Jul,0,58.5,34,0,0,0,17084
30-Jul,0,55,45,1,0,0,25124
31-Jul,7.4,58.5,36,1,0,0,22592
4-Aug,0,55,23,0,0,0,20304
5-Aug,0.2,54.5,23,0,0,0,23365
6-Aug,0,55.5,37,1,0,0,33468
7-Aug,0,60,25,1,0,0,37966
8-Aug,0,62,16,0,0,0,28068
9-Aug,0,65.5,17,0,1,1,41934
10-Aug,0,61.5,16,0,1,0,25236
11-Aug,3.6,55.5,26,0,0,0,20598
12-Aug,5.8,58,29,0,1,0,24035
13-Aug,1.8,60,40,1,0,0,39634
14-Aug,0.2,60.5,29,1,0,0,39478
15-Aug,0,57,15,0,0,0,22708
16-Aug,0,46,18,0,0,0,20545
17-Aug,23,54,20,0,1,0,20200
18-Aug,0.2,59.5,27,0,0,0,22074
19-Aug,19.2,51.5,26,0,1,0,22605
20-Aug,1.4,52,47,1,0,0,37784
21-Aug,25.8,51,35,1,1,0,32276
22-Aug,0,49,18,0,0,0,20396
23-Aug,0,63.5,21,0,0,0,19112
24-Aug,26.6,63,24,0,0,0,16598
25-Aug,0,44.5,30,0,0,0,18831
26-Aug,0,87,34,0,0,0,20144
27-Aug,0,129,50,1,0,0,30560
28-Aug,0,99,31,1,0,0,29555
29-Aug,0,91.5,17,0,1,0,16052
30-Aug,2.2,62.5,21,0,0,0,13764
31-Aug,1.4,62.5,23,0,1,0,12698
1-Sep,3.4,64.5,21,0,0,0,11256
2-Sep,0.2,59.5,28,0,0,0,18711
3-Sep,0,66,44,1,0,0,24399
4-Sep,2,72,32,1,1,0,23773
5-Sep,0.4,75,23,0,0,0,15148
6-Sep,2.8,64,22,0,0,0,13046
7-Sep,11.6,53.5,25,0,0,0,13285
8-Sep,0,55.5,29,0,0,0,16085
9-Sep,4.6,59,36,0,0,0,17173
10-Sep,15.8,54,40,1,1,0,21852
11-Sep,14.4,54.5,33,1,0,0,48370
12-Sep,0.4,54.5,18,0,1,1,25493
13-Sep,0.2,59,13,0,0,0,12405
14-Sep,7,52,15,0,0,0,11076
15-Sep,0,55,20,0,1,0,12511
16-Sep,11.6,57,22,0,1,0,13454
17-Sep,0,52.5,28,1,0,0,21594
18-Sep,5.6,60.5,19,1,0,0,20196
21-Sep,2.2,46.5,18,0,0,0,10155
22-Sep,0,61.5,23,0,0,0,10979
23-Sep,0,59.5,25,0,0,0,11675
24-Sep,0,59.5,39,1,0,0,21083
25-Sep,0,61,22,1,0,0,20552
26-Sep,0,58,17,0,1,0,11513
27-Sep,0,68.5,14,0,0,0,11738
29-Sep,0,60.5,15,0,0,0,11881
30-Sep,0.4,63,17,0,1,0,12292
1-Oct,0,62.5,30,1,1,0,24463
2-Oct,0.2,58.5,15,1,1,0,25836
3-Oct,4.8,62.5,10,0,1,0,17429
4-Oct,0.4,62.5,9,0,1,0,17352
5-Oct,0,72,12,0,1,0,17397
6-Oct,0,82.5,17,0,1,0,12926
7-Oct,82,72,27,0,1,0,13031
10-Oct,0,60,11,0,0,0,12678
11-Oct,0,56.5,12,0,0,0,12536
12-Oct,0,48,10,0,0,0,12970
13-Oct,0,49,21,0,0,0,13274
14-Oct,15,49,25,0,1,0,12472
15-Oct,0.2,48.5,39,1,0,0,24223
25-Oct,47.8,58.5,18,0,0,0,11066
26-Oct,1,44,22,0,0,0,12162
27-Oct,21,42,26,0,0,0,10986
28-Oct,6.4,57.5,28,0,0,0,14107
29-Oct,7.2,70,27,1,1,1,28610
30-Oct,0.8,62,27,1,0,0,30625
31-Oct,0,57,12,0,1,0,19661
